0.000000000000000000e+00 -3.105486544211644162e-02 -9.164951192026869753e-02 -9.758844277044242824e-04 -1.952146587268698344e-02 1.083660167917005479e-02 -1.107877538895203628e-02 3.377483516166144683e-03 -1.530999448055760581e-03 7.886311207370786519e-05
1.000000000000000056e-01 5.778725905434213550e-02 1.319506671705008294e-01 -1.397315031062579607e-02 1.481977813128896454e-02 3.510679769033342706e-03 1.342043349035295253e-03 1.963502313548862004e-03 -3.547965405555813904e-03 -6.818083423588249935e-04
2.000000000000000111e-01 -1.087863621720963486e-01 1.807005957463530058e-02 -2.908599104034684593e-02 -2.219651303871666981e-02 -5.799733888200866647e-03 -7.685108602702972989e-03 2.936610816544308819e-03 -2.026273751554014645e-04 -2.214759764058768683e-03
3.000000000000000444e-01 2.853330041244979062e-02 -2.832027857526530669e-03 -3.262879156924670954e-02 7.285582950571859590e-04 -1.546024064662300697e-03 -2.685581061361041501e-03 4.402116760894343381e-03 8.135131467657142484e-03 2.421511382955815819e-03
4.000000000000000222e-01 3.191589817968571580e-02 4.040871384194930777e-02 3.455378667524919289e-03 1.187219601996799753e-02 3.318570503575187479e-03 1.810252528846204717e-02 6.612105474864399604e-03 8.712734405431063478e-03 7.089413130170288749e-03
5.000000000000000000e-01 -9.022488201613004799e-02 2.897924986234069744e-04 -9.277467838653633697e-03 1.180021744075301221e-03 2.956240096372131712e-02 1.435300250858097607e-02 1.998136350769253930e-02 2.130176405547240179e-02 1.776561017593825467e-02
6.000000000000000888e-01 -2.223408127576117360e-02 5.176080760992934904e-02 3.212346278969145652e-02 1.394078421475917866e-02 2.564373818848556322e-02 2.857404967906276849e-02 3.093664898844411884e-02 2.955371125349759431e-02 2.691531883597134481e-02
7.000000000000000666e-01 1.121456609511235630e-01 8.804334500928774621e-03 3.339899282806679109e-02 4.586337197721097880e-02 5.678579150237103579e-02 3.757281339080441318e-02 4.413609846483919352e-02 4.087605448696456784e-02 4.261385942626147449e-02
8.000000000000000444e-01 -2.212029139721360393e-01 1.350512605298327395e-01 9.817500944801395291e-02 6.099711097547170363e-02 3.716536641613554098e-02 5.729919792885355967e-02 5.684767198495233043e-02 5.653115624831625552e-02 5.611974852533214292e-02
9.000000000000000222e-01 -1.441637992495473086e-01 1.042901574991562802e-01 7.185081796126004117e-02 5.921016856535486761e-02 6.117555309658980617e-02 7.422359122881207194e-02 7.258573200587799257e-02 7.324909349905506240e-02 7.190663876902930740e-02
